_________________________________________________________
    n    |         u(n)          |          sum
      602|            3.89602e+81|          -2.30418e+112
      603|            -2.0124e+81|          -2.30418e+112
      604|            1.03775e+81|          -2.30418e+112
      605|            -5.3426e+80|          -2.30418e+112
      606|            2.74599e+80|          -2.30418e+112
      607|           -1.40906e+80|          -2.30418e+112
      608|            7.21855e+79|          -2.30418e+112
      609|           -3.69197e+79|          -2.30418e+112
      610|             1.8852e+79|          -2.30418e+112
      611|           -9.61049e+78|          -2.30418e+112
      612|            4.89132e+78|          -2.30418e+112
      613|           -2.48543e+78|          -2.30418e+112
      614|            1.26087e+78|          -2.30418e+112
      615|           -6.38607e+77|          -2.30418e+112
      616|             3.2292e+77|          -2.30418e+112
      617|           -1.63025e+77|          -2.30418e+112
      618|            8.21696e+76|          -2.30418e+112
      619|           -4.13494e+76|          -2.30418e+112
      620|            2.07744e+76|          -2.30418e+112
      621|           -1.04205e+76|          -2.30418e+112
      622|            5.21861e+75|          -2.30418e+112
      623|            -2.6093e+75|          -2.30418e+112
      624|            1.30256e+75|          -2.30418e+112
      625|           -6.49204e+74|          -2.30418e+112
      626|            3.23051e+74|          -2.30418e+112
      627|           -1.60498e+74|          -2.30418e+112
      628|             7.9612e+73|          -2.30418e+112
      629|           -3.94275e+73|          -2.30418e+112
